MP_Name,Work_Type,Amount,log_spend,peer_median,peer_mad,peer_n_mps,peer_median_spend,conc_eligible,conc_z,conc_ratio,conc_score,mp_total_amount,mp_works_n,portfolio_share,mp_cat_works_n,conc_reason
ANGOMCHA BIMOL AKOIJAM,Construction of community centers and community halls,8900000.0,16.00156183470237,14.21557510928233,0.7574997842031976,101,1491921.0000000002,True,1.5902949035991694,5.965463318768218,0,32247094.0,14,0.2759938616484326,2,
ANGOMCHA BIMOL AKOIJAM,Construction of public toilets and bathrooms,1933334.0,14.474756531676064,13.010791601747224,0.8303681034170749,16,447213.5954999579,True,1.1891645899854997,4.323066247211579,0,32247094.0,14,0.059953743428787724,1,
ANGOMCHA BIMOL AKOIJAM,Development of playfields and sports grounds,2100000.0,14.557447902693651,13.699922696458536,0.5894825609725016,14,890842.2980528027,False,0.0,2.3573195891014227,0,32247094.0,14,0.06512214713052904,1,
ANGOMCHA BIMOL AKOIJAM,Development of public parks,4900000.0,15.404745763080856,14.219242164426287,1.096878787021959,13,1497402.0,False,0.0,3.2723343497604516,0,32247094.0,14,0.15195167663790107,1,
ANGOMCHA BIMOL AKOIJAM,Providing drains and gutters for public drainage,2720070.0,14.81616817323515,13.81519145615997,0.5174368543789507,50,999680.9491032623,True,1.3048138916922767,2.7209381177464347,0,32247094.0,14,0.0843508565453991,2,
ANGOMCHA BIMOL AKOIJAM,"Purchase of ambulances (Four, three and two wheelers)",4991644.0,15.423275872385865,14.407242208943915,0.8035199182557164,7,1807115.0000000002,False,0.0,2.7622171250861176,0,32247094.0,14,0.15479360713867737,1,
ANGOMCHA BIMOL AKOIJAM,Purchase of hospital equipment,1710000.0,14.352003928478842,14.038695543721623,0.6075665378155941,12,1250051.794126947,False,0.0,1.3679433188560695,0,32247094.0,14,0.05302803409200221,2,
ANGOMCHA BIMOL AKOIJAM,Purchase of motor boats for flood and cyclone prone areas,469980.0,13.060445419589339,13.060445419589339,0.0,1,469979.9999999998,False,0.0,1.0000000000000004,0,32247094.0,14,0.014574336527812398,1,
ANGOMCHA BIMOL AKOIJAM,Purchase of sanitary pad vending machine and incinerators,1500000.0,14.22097566607244,14.22097566607244,0.0,1,1500000.000000001,False,0.0,0.9999999999999993,0,32247094.0,14,0.04651581937894931,1,
ANITA NAGARSINGH CHOUHAN,Construction of culverts and bridges,1000000.0,13.815510557964274,13.951241645841687,0.828878268437359,42,1145373.8472655984,True,-0.11045122336951974,0.8730773820157883,0,13729920.0,22,0.07283363632126043,2,
ANITA NAGARSINGH CHOUHAN,Construction of road under bridge,500000.0,13.122363377404328,13.779028614409551,0.3207931276610303,6,964175.5033213604,False,0.0,0.5185777882528816,0,13729920.0,22,0.036416818160630214,1,
ANITA NAGARSINGH CHOUHAN,"Construction of roads, link roads, pathways or any other road with or without drainage system",7499551.0,15.830353710047792,15.057946519666173,0.917949939299187,226,3464041.467798128,True,0.5675567126352808,2.1649714848151027,0,13729920.0,22,0.5462195701067449,12,
ANITA NAGARSINGH CHOUHAN,Improvement of electricity distribution infrastructure,4730369.0,15.369513770110274,12.864768028978977,0.8912752299478237,22,386453.9636230947,True,1.895543537647694,12.240446328074121,0,13729920.0,22,0.3445299754113644,7,
ANITA SUBHADARSHINI,Construction of community centers and community halls,200000.0,12.206072645530174,14.21557510928233,0.7574997842031976,101,1491921.0000000002,True,-1.7893198652545672,0.13405535547793748,0,200000.0,1,1.0,1,
ANOOP PRADHAN BALMIKI,"Construction of cycle tracks, cycle stand and segregated non-motorized vehicle (NMV) lanes",11937775.0,16.295218300154996,15.145983247175094,1.1492350529799022,2,3782831.068459175,False,0.0,3.15577798319778,0,47446589.0,33,0.25160449363388376,11,
ANOOP PRADHAN BALMIKI,Construction of road under bridge,931545.0,13.744599777035674,13.779028614409551,0.3207931276610303,6,964175.5033213604,False,0.0,0.9661570915160612,0,47446589.0,33,0.019633550475040472,1,
ANOOP PRADHAN BALMIKI,"Construction of roads, link roads, pathways or any other road with or without drainage system",34577269.0,17.358707058813756,15.057946519666173,0.917949939299187,226,3464041.467798128,True,1.6905747440212502,9.981771096400466,0,47446589.0,33,0.7287619558910757,21,
ANUP SANJAY DHOTRE,"Construction of roads, link roads, pathways or any other road with or without drainage system",880171.0,13.687871485758874,15.057946519666173,0.917949939299187,226,3464041.467798128,True,-1.0067167835710005,0.2540878936300578,0,880171.0,2,1.0,2,
ARUN GOVIL,"Construction of roads, link roads, pathways or any other road with or without drainage system",24262838.0,17.00445643732579,15.057946519666173,0.917949939299187,226,3464041.467798128,True,1.4302750980775343,7.004199639510191,0,25126598.0,34,0.9656236789397434,29,
ARUN GOVIL,Street lights,863760.0,13.669050231421021,14.893113691774463,1.2240634603534417,65,2937630.0000000014,True,-0.6745,0.29403294492499044,0,25126598.0,34,0.034376321060256544,5,
ARUN NEHRU,Construction of rooms and halls in school and colleges,4349802.0,15.285640884787547,13.889238600811138,0.7668752234068101,61,1076513.9999999993,True,1.2281963372839926,4.0406367218633505,0,9054537.0,7,0.4804002678436236,1,
ARUN NEHRU,Construction of toilet blocks,4704735.0,15.36408000635484,13.117262389458487,0.8898969247531294,11,497456.00000000035,False,0.0,9.45759021903444,0,9054537.0,7,0.5195997321563764,6,
ARUNA. D. K,"Construction of roads, link roads, pathways or any other road with or without drainage system",1898760.0,14.456711599501029,15.057946519666173,0.917949939299187,226,3464041.467798128,True,-0.44178112148577026,0.548134315842045,0,8845886.0,36,0.2146489339790271,4,
ARUNA. D. K,Lighting of public spaces,6947126.0,15.753838606836004,14.80807765219108,1.280249166678587,95,2698152.0000000014,True,0.4982746956695755,2.5747719179645907,0,8845886.0,36,0.7853510660209729,32,
ATUL GARG,"Construction of roads, link roads, pathways or any other road with or without drainage system",8532964.0,15.959447338595021,15.057946519666173,0.917949939299187,226,3464041.467798128,True,0.6624133586541074,2.463297301525627,0,8740705.0,12,0.9762329240032698,11,
ATUL GARG,Improvement of electricity distribution infrastructure,207741.0,12.244047390479661,12.864768028978977,0.8912752299478237,22,386453.9636230947,True,-0.46974947423625635,0.5375569137715147,0,8740705.0,12,0.023767075996730242,1,
AWADHESH PRASAD,Construction of additional rooms and halls in the existing public and community building,1269338.0,14.054006062689114,13.81528000481769,0.6929616294384839,24,999769.4734287509,True,0.23236600584184156,1.269630683608245,0,35269027.0,26,0.03599016213291056,1,
AWADHESH PRASAD,"Construction of roads, link roads, pathways or any other road with or without drainage system",32162336.0,17.286306636453034,15.057946519666173,0.917949939299187,226,3464041.467798128,True,1.637375672054875,9.284627883061562,0,35269027.0,26,0.9119144681819547,23,
AWADHESH PRASAD,Construction of rooms and halls in school and colleges,1837353.0,14.423836506868959,13.889238600811138,0.7668752234068101,61,1076513.9999999993,True,0.47020203108676645,1.706761825670638,0,35269027.0,26,0.05209536968513478,2,
Abu Taher Khan,"Construction of roads, link roads, pathways or any other road with or without drainage system",791928.0,13.582225757573172,15.057946519666173,0.917949939299187,226,3464041.467798128,True,-1.0843441580176492,0.22861389142185373,0,1283318.0,4,0.6170941263194314,2,
Abu Taher Khan,Lighting of public spaces,140538.0,11.853233193820964,14.80807765219108,1.280249166678587,95,2698152.0000000014,True,-1.556761479752642,0.052086761605721225,0,1283318.0,4,0.10951143831848381,1,
Abu Taher Khan,Security gates in streets/public place for safety purpose,350852.0,12.768119761105972,12.768119761105972,0.33890356426158874,3,350852.0,False,0.0,1.0,0,1283318.0,4,0.27339443536208485,1,
Adv Adoor Prakash,Lighting of public spaces,3220794.0,14.985138470974722,14.80807765219108,1.280249166678587,95,2698152.0000000014,True,0.09328459285734389,1.1937036905259595,0,3220794.0,13,1.0,13,
Ajay Bhatt,"Construction of roads, link roads, pathways or any other road with or without drainage system",249225.0,12.426111381890905,15.057946519666173,0.917949939299187,226,3464041.467798128,True,-1.933844891132823,0.07194630962614214,0,500772.0,2,0.49768157964103427,1,
Ajay Bhatt,Lighting of public spaces,251547.0,12.43538512978991,14.80807765219108,1.280249166678587,95,2698152.0000000014,True,-1.2500544019189141,0.09322936587708916,0,500772.0,2,0.5023184203589658,1,
Ajay Kumar Mandal,"Construction of roads, link roads, pathways or any other road with or without drainage system",3080114.0,14.940477167251807,15.057946519666173,0.917949939299187,226,3464041.467798128,True,-0.08631524967906276,0.8891677621740002,0,15015414.0,16,0.20513014159982534,3,
Ajay Kumar Mandal,Lighting of public spaces,11935300.0,16.295010953593327,14.80807765219108,1.280249166678587,95,2698152.0000000014,True,0.783391653671435,4.423509127728902,0,15015414.0,16,0.7948698584001747,13,
Ajay Tamta,Construction of rooms and halls in school and colleges,454574.0,13.027115995628167,13.889238600811138,0.7668752234068101,61,1076513.9999999993,True,-0.7582742008701469,0.4222648288828573,0,454574.0,1,1.0,1,
Alok Kumar Suman,"Construction of roads, link roads, pathways or any other road with or without drainage system",1032374.0,13.847371562472278,15.057946519666173,0.917949939299187,226,3464041.467798128,True,-0.8895177979429552,0.29802587803783276,0,1032374.0,1,1.0,1,
Amol Ramsing Kolhe,"Construction of roads, link roads, pathways or any other road with or without drainage system",6995405.0,15.760764062904594,15.057946519666173,0.917949939299187,226,3464041.467798128,True,0.5164229688562656,2.0194345434457333,0,6995405.0,7,1.0,7,
Andimuthu Raja,Construction of bus-sheds or bus-stops,500000.0,13.122363377404328,13.86558751291084,0.743540185445033,21,1051351.9999999995,True,-0.6742132963520935,0.4755781127538638,0,4298314.0,5,0.11632467986284854,1,
Andimuthu Raja,Construction of community centers and community halls,2598804.0,14.770561897159254,14.21557510928233,0.7574997842031976,101,1491921.0000000002,True,0.49417649513490797,1.7419179701874292,0,4298314.0,5,0.6046100866525805,2,
